B2,B3,B4,B5,B6,B7,B8,B8A,lat,lon
1014,1248,1238,1543,3195,3606,3464,3852,17.2,78.4
1168,1478,1604,1891,2926,3243,3279,3663,17.2,78.4
1076,1360,1448,1800,3113,3437,3410,3753,17.2,78.4
1462,1616,1790,2067,2979,3469,3328,3995,17.2,78.4
1378,1520,1550,1887,3020,3513,3468,3952,17.2,78.4
1064,1470,1710,2096,2845,3166,3244,3447,17.2,78.4
886,1328,1486,1911,2941,3275,3308,3574,17.2,78.4
1019,1384,1676,1913,2576,2785,3046,3078,17.2,78.4
928,1320,1540,1842,2659,2981,3140,3291,17.2,78.4
920,1194,1474,1712,2141,2218,2386,2497,17.2,78.4
812,1094,1308,1575,2002,2250,2388,2413,17.2,78.4
1214,1544,1852,2004,2491,2713,2922,2856,17.2,78.4
1072,1372,1586,1700,2341,2530,2876,2775,17.2,78.4
1130,1412,1532,1790,1929,2034,1796,2067,13.0,77.5
4740,3984,3824,4133,4084,4323,4387,4289,13.0,77.5
1180,1410,1510,2008,2084,2080,1952,2225,13.0,77.5
1112,1238,1614,1762,2001,2014,1880,2061,13.0,77.5
3996,3908,3816,3835,3913,4012,4071,3818,13.0,77.5
1298,1306,1678,1999,2138,2266,1870,2134,13.0,77.5
1646,1740,1926,2136,2300,2403,2236,2320,13.0,77.5
1318,1628,1756,2199,2249,2387,2118,2283,13.0,77.5
1480,1622,2042,2331,2295,2260,2310,2358,13.0,77.5
1388,1552,1885,2293,2128,2389,2121,2460,13.0,77.5
1252,1566,1830,2246,2343,2429,2183,2351,13.0,77.5
1194,1624,1886,2291,2290,2432,2222,2488,13.0,77.5
1142,1676,1924,2171,2408,2447,2376,2441,13.0,77.5
1772,1932,2166,2413,2458,2610,2454,2665,13.0,77.5
1474,1796,2271,2453,2443,2554,2504,2763,13.0,77.5
1570,1848,2160,2366,2509,2643,2463,2707,13.0,77.5
1454,1784,2035,2385,2519,2608,2492,2584,13.0,77.5
1528,1970,2191,2518,2578,2719,2542,2679,13.0,77.5
1512,2124,2137,2410,2559,2667,2609,2704,13.0,77.5
